pH,Temp,OD,Cond,Redox,Mang,Color,Turb,TOC
9.8,22.53,11.3,57,145.1,0.012,27,43,2.2133000000000003
9.9,23.2,10.2,54.7,123.8,0.009,20,29,3.1441
8.9,20.23,9.5,47.8,121.3,0.006,24,27,3.4844
6.9,19.6,4.3,61.8,191.8,0.042,20,11,2.2133000000000003
7.4,19.05,2.8,58.4,192.5,0.088,21,7,2.2133000000000003
7.3,18.44,5.3,45.8,191.2,0.01,25,27,3.2124
9.2,20.83,9.4,45.5,109.5,0.03,17,18,3.5327
9.5,20.57,9.8,48.7,85.3,0.007,19,27,3.4506
9.3,20.63,9.3,43.3,98.8,0.018,9,26,3.2272
9.6,21.13,10,52.7,130.4597561,0.012,19,12,2.8076
7.2,18.13,5.2,53.7,157,0.014,18,15,2.9448
7.4,17.8,5.8,58.6,139.7,0.036,26,43,2.9629
9.1,20.53,8.4,49.4,130.4597561,0.018,19,6,2.9536
9.4,21.3,8.8,53.8,130.4597561,0.032,13,10,2.6578
9.2,19.97,9.3,46.9,130.4597561,0.016,11,9,2.9919
7.3,21.27,7.2,51.7,130.4597561,0.08,14,3,1.6992
6.9,19.67,5.4,62.7,130.4597561,0.054,16,6,1.6343
6.9,18.65,1.8,51.8,130.4597561,0.054,22,5,1.6648
7.4,19.31,5,47.6,130.4597561,0.08,17,5,1.7071
7.4,21.53,7.1,51.3,130.4597561,0.025,17,3,1.5847
7.4,21.17,7.1,55.5,130.4597561,0.017,16,5,1.5927
8.2,21.17,7.8,48.4,130.4597561,0.007,17,3,2.2133000000000003
7.6,20.03,8,48.8,130.4597561,0.017,14,2,2.1667
7.1,18.9,6.5,48.7,130.4597561,0.017,11,3,1.9411
7,18.3,4.4,54.5,130.4597561,0.03,10,5,1.8507
7,18.89,5.9,46.4,130.4597561,0.077,12,3,2.0782
7.8,20.43,8,46.4,130.4597561,0.025,10,3,1.9484
7.7,20.13,8,54.3,130.4597561,0.03,10,3,1.9571
7.9,20.43,7.9,44.1,130.4597561,0.019,7,2,1.9685
8.3,21,10,49.4,130.4597561,0.008,11,3,1.9247
7.9,20.73,10,48.9,130.4597561,0.018,19,6,1.6959
7.4,20.37,9.9,55.5,130.4597561,0.037,13,7,1.7321
7.6,19.25,6.7,52.3,130.4597561,0.156,23,4,1.8723
8,21.9,9.1,50.8,130.4597561,0.022,10,4,1.9519
7.8,22.05,10,65.4,130.4597561,0.018,15,4,1.8497
9.3,21.3,10.5,47.7,130.4597561,0.009,8,3,1.9606
8.2,20.47,7.8,51.3,130.4597561,0.005,2,5,2.2133000000000003
7.5,18.93,6.5,67.6,130.4597561,0.016,4,4,2.2133000000000003
7.6,18.6,5.8,74.8,130.4597561,0.057,1,6,2.2133000000000003
7.2,19.3,5.3,48.5,130.4597561,0.156,2,5,2.2133000000000003
8.6,20.83,7.8,48,130.4597561,0.025,1,5,2.2133000000000003
8.3,20.4,7.9,53.3,130.4597561,0.012,1,5,2.2133000000000003
9.3,21.3,10.5,47.7,130.4597561,0.01,1,3,2.2133000000000003
9.2,21.17,9.5,57,130.4597561,0.005,9,7,2.5892
7.7,19.13,6.5,59.2,130.4597561,0.016,10,10,2.284
7.9,18.85,6,68.3,130.4597561,0.057,12,11,2.2553
7.4,18.69,5.3,47.3,130.4597561,0.156,12,5,2.2188
9.8,22.4,9.4,56.5,130.4597561,0.025,12,5,2.5649
9.1,21.57,9,67.4,130.4597561,0.012,13,5,2.2256
7.9,19.5,7.8,46.1,130.4597561,0.01,7,3,2.1782
9.4,20.7,9.4,50.97038391224861,130.4597561,0.012,24,5,2.8356
7.7,18.97,6.6,50.97038391224861,130.4597561,0.011,17,8,2.6737
8,19,6.2,50.97038391224861,130.4597561,0.022,20,16,2.5674
7.4,19.33,6.3,50.97038391224861,130.4597561,0.14,29,5,2.7703
9.2,20.93,9,50.97038391224861,130.4597561,0.029,10,5,2.7625
