,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
389,Potreros,2.96,8.01,7.7,19.93,7.1,100.7,46.8,157.2,20.0,120.767,30.233,0.031,11.0,3,0.304,2.3014,0.076,3.3,13.03,4.38,104,333,0.034,2.902,0.034,0.535,2.095,0.06,0.908,0.304,0.173
390,PalmasEsp.Santo,2.3,6.22,7.7,20.43,7.9,113.27,51.1,152.4,10.0,139.503,53.488,0.021,10.0,4,0.343,2.3714,0.076,3.2,9.48,10.43,238,333,0.034,3.432,0.037,0.618,2.443,0.069,0.945,0.343,0.138
391,Descarga Bombeo,3.09,8.36,7.8,20.47,7.8,113.17,47.8,148.8,10.0,121.896,69.767,0.03,9.0,2,0.534,2.4907,0.077,3.1,11.25,5.75,381,333,0.035,3.046,0.036,0.54,2.131,0.09,1.069,0.534,0.332
392,Torre Superficial,3.65,9.87,7.5,20.6,8.2,118.5,47.2,124.5,30.0,119.86,44.96,0.01,9.0,2,0.337,2.304,0.105,4.6,0.59,19.31,104,1000,0.021,3.035,0.043,0.531,2.137,0.058,0.353,0.337,0.159
393,Torre Media,3.65,9.87,7.0,19.0,6.5,95.4,59.0,153.9,50.0,156.43,44.186,0.03,15.0,5,0.408,1.923,0.073,3.8,4.74,6.46,45,389,0.019,4.068,0.037,0.693,3.071,0.057,0.115,0.408,0.196
394,Torre Profua,3.65,9.87,7.1,18.3,7.2,101.4,62.4,155.8,30.0,192.325,30.233,0.083,17.0,6,0.482,1.842,0.078,4.2,0.59,2.31,43,333,0.019,4.723,0.039,0.852,3.546,0.06,0.132,0.482,0.278
395,Presa,3.5,9.47,6.8,18.8,5.4,76.35,45.2,108.2,30.0,133.408,30.233,0.076,9.0,3,0.514,1.947,0.074,3.8,4.15,21.56,137,500,0.021,2.947,0.04,0.591,2.16,0.06,0.536,0.514,0.369
396,Potreros,3.92,10.6,7.0,20.2,6.9,99.67,44.5,108.2,40.0,118.736,30.233,0.028,9.0,4,0.297,1.917,0.074,3.9,7.7,10.13,68,833,0.02,2.855,0.035,0.526,2.088,0.06,0.368,0.297,0.168
397,PalmasEsp.Santo,2.8,7.57,7.4,19.83,7.9,113.8,54.2,92.0,60.0,169.977,30.233,0.034,10.0,5,0.356,1.908,0.072,3.8,10.07,20.2,218,1200,0.02,4.14,0.037,0.753,3.085,0.06,0.236,0.356,0.175
398,Descarga Bombeo,3.09,8.36,7.8,20.47,7.8,113.17,47.8,148.8,40.0,124.153,42.636,0.01,17.0,1,0.371,2.025,0.071,3.5,1.18,5.86,43,500,0.021,2.919,0.036,0.55,2.101,0.055,0.117,0.371,0.193
399,Torre Superficial,3.18,8.6,7.0,22.3,7.8,115.7,49.6,93.4,40.0,173.589,26.357,0.01,17.0,4,0.276,1.937,0.064,3.3,6.85,14.2,291,1583,0.014,4.293,0.019,0.769,2.823,0.034,0.855,0.276,0.07
400,Torre Media,3.18,8.6,6.4,19.5,4.7,66.1,64.6,116.6,40.0,190.519,97.674,0.041,18.0,5,0.375,1.8376,0.071,3.8,9.28,15.93,446,446,0.015,5.295,0.02,0.844,3.512,0.126,1.118,0.375,0.08
401,Torre Profua,3.18,8.6,6.5,18.8,2.3,31.1,47.3,147.4,0.0,161.851,144.961,0.055,20.0,5,0.426,1.8123,0.066,3.6,0.81,5.36,305,333,0.016,3.836,0.021,0.717,2.588,0.187,0.952,0.426,0.112
402,Presa,4.23,11.44,6.6,19.5,5.0,74.88,45.2,57.1,40.0,105.192,155.039,0.097,17.0,3,0.346,1.7834,0.058,3.2,4.11,11.27,166,467,0.015,2.817,0.019,0.466,1.863,0.2,0.997,0.346,0.079
403,Potreros,3.23,8.74,7.0,21.2,7.2,104.63,44.8,165.5,10.0,134.312,48.062,0.012,16.0,3,0.249,1.9005,0.06,3.2,11.57,16.21,399,500,0.014,3.042,0.02,0.595,2.038,0.062,0.823,0.249,0.061
