,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
68,PalmasEsp.Santo,1.62,4.38,7.9,21.35,7.9,114.8,45.4,93.4,28.0,88.713,16.279,0.014,6.0,7,0.398,2.2816,0.048,2.1,11.85,3.49,40,0,0.016,3.142,0.009,0.393,2.231,0.021,0.848,0.398,0.29
69,Descarga Bombeo,1.73,4.68,8.6,21.45,8.2,119.5,39.9,40.7,31.0,100.0,0.02,0.011,11.0,6,0.379,2.4224,0.059,2.4,3.55,3.08,30,0,0.021,2.593,0.012,0.443,1.777,0.06,1.002,0.379,0.275
70,Torre Superficial,1.88,5.09,8.5,21.4,8.3,123.0,54.0,101.9,9.0,54.402,0.02,0.009,9.0,4,0.372,2.7101,0.065,2.4,18.36,22.27,192,0,0.052,4.613,0.01,0.241,2.602,0.06,1.944,0.372,0.315
71,Torre Media,1.88,5.09,7.0,19.67,5.0,71.93,64.5,166.1,6.0,108.126,30.233,0.02,8.0,6,0.371,1.9779,0.057,2.9,24.88,7.05,126,0,0.024,6.196,0.008,0.479,3.915,0.06,0.97,0.371,0.26
72,Torre Profua,1.88,5.09,7.1,18.75,2.4,34.15,40.5,165.1,6.0,197.968,30.233,0.023,8.0,5,0.485,1.9561,0.049,2.5,4.15,3.32,56,0,0.045,2.659,0.009,0.877,1.751,0.06,1.023,0.485,0.284
73,Presa,2.38,6.44,9.1,21.1,9.3,135.7,44.9,43.0,7.0,83.296,35.659,0.051,5.0,5,0.371,2.4185,0.048,2.0,41.46,5.39,233,0,0.019,2.823,0.013,0.369,1.634,0.046,1.342,0.371,0.248
74,Potreros,2.08,5.63,8.6,21.77,6.8,101.4,45.0,94.7,7.0,70.88,30.233,0.02,14.0,5,0.341,2.0894,0.065,3.1,15.4,4.09,123,0,0.025,3.098,0.01,0.314,1.969,0.06,0.906,0.341,0.267
75,PalmasEsp.Santo,2.0,5.41,9.2,22.3,8.3,126.3,50.3,152.0,7.0,56.885,0.02,0.009,5.0,3,0.298,2.2533,0.063,2.8,14.22,5.69,123,0,0.024,3.646,0.009,0.252,2.418,0.06,0.905,0.298,0.238
76,Descarga Bombeo,2.58,6.98,8.8,20.95,7.5,109.65,43.1,103.3,31.0,113.318,0.02,0.009,11.0,4,0.457,2.2749,0.057,2.5,34.95,5.69,188,0,0.04,2.59,0.018,0.502,1.715,0.06,0.957,0.457,0.338
77,Torre Superficial,1.83,4.95,8.4,22.15,8.5,125.95,45.9,103.0,30.0,41.986,0.02,0.018,9.0,7,0.423,2.2474,0.059,2.6,24.88,11.61,984,0,0.059,3.727,0.012,0.186,2.189,0.06,0.961,0.423,0.377
78,Torre Media,1.83,4.95,6.7,20.47,5.6,77.37,42.3,165.7,50.0,110.835,30.233,0.026,9.0,8,0.372,2.2043,0.05,2.3,77.0,15.05,629,0,0.038,2.746,0.016,0.491,1.746,0.06,1.03,0.372,0.256
79,Torre Profua,1.83,4.95,7.0,20.7,6.2,86.45,41.1,124.5,40.0,130.023,30.233,0.014,9.0,8,0.393,2.0307,0.055,2.7,59.23,7.94,644,0,0.129,3.553,0.018,0.576,2.334,0.06,1.157,0.393,0.257
80,Presa,1.92,5.19,8.1,21.25,9.1,132.05,43.4,24.2,40.0,65.011,0.02,0.049,13.0,8,0.344,2.2988,0.065,2.8,21.92,7.94,583,0,0.055,3.127,0.013,0.288,1.829,0.06,1.006,0.344,0.275
81,Potreros,1.62,4.38,7.9,21.77,7.1,105.4,43.1,101.1,30.0,77.427,30.233,0.016,9.0,6,0.337,1.9306,0.058,3.0,21.92,4.62,785,0,0.043,3.538,0.014,0.343,2.135,0.06,0.86,0.337,0.255
82,PalmasEsp.Santo,1.68,4.54,8.7,23.1,9.0,135.75,57.8,68.8,40.0,45.147,0.02,0.007,11.0,4,0.356,2.386,0.068,2.9,15.4,4.5,470,0,0.06,4.989,0.007,0.2,3.594,0.06,0.879,0.356,0.309
83,Descarga Bombeo,1.58,4.27,8.9,21.6,9.2,42.2,42.6,135.6,40.0,45.824,0.02,0.021,27.0,6,0.307,2.5927,0.067,2.6,15.99,4.32,498,0,0.044,2.969,0.011,0.203,1.841,0.06,0.972,0.307,0.258
84,Torre Superficial,2.22,6.01,9.0,21.58,8.2,120.3,46.9,174.7,30.0,70.655,0.02,0.029,14.0,6,0.392,2.148,0.049,2.3,21.92,10.01,203,0,0.044,3.701,0.01,0.313,2.397,0.06,0.951,0.392,0.319
85,Torre Media,2.22,6.01,7.1,19.3,5.4,74.65,59.1,227.9,30.0,132.054,30.233,0.015,14.0,5,0.354,2.1894,0.056,2.6,11.85,5.15,248,0,0.021,4.41,0.024259911894273126,0.585,3.134,0.06,0.951,0.354,0.222
86,Torre Profua,2.22,6.01,6.9,18.7,4.1,56.27,57.8,223.2,30.0,167.269,30.233,0.088,19.0,7,0.53,2.5056,0.053,2.1,2.96,2.84,23,0,0.018,4.513,0.024259911894273126,0.741,3.277,0.06,0.951,0.53,0.363
87,Presa,1.73,4.68,9.2,21.45,9.2,135.08,41.1,136.0,60.0,60.271,0.02,0.077,21.0,7,0.567,3.5658,0.081,2.3,58.64,6.87,355,0,0.086,2.628,0.024259911894273126,0.267,1.8,0.06,0.951,0.567,0.507
88,Potreros,2.26,6.11,9.3,22.9,8.4,127.07,38.8,155.9,20.0,46.275,30.233,0.018,16.0,5,0.397,2.366,0.051,2.2,19.2,5.03,110,0,0.038,2.563,0.01,0.205,1.945,0.06,0.951,0.397,0.347
89,PalmasEsp.Santo,1.3,3.52,9.4,23.05,8.3,126.35,43.6,147.3,30.0,31.828,0.02,0.009,16.0,3,0.216,2.2835,0.052,2.3,11.25,0.89,25,0,0.033,2.636,0.024259911894273126,0.141,1.92,0.06,0.951,0.216,0.184
90,Descarga Bombeo,1.42,3.84,8.8,19.6,8.2,117.25,33.2,186.0,40.0,53.725,0.02,0.018,21.0,6,0.36,2.4054,0.058,2.4,23.69,4.92,148,0,0.025,2.293,0.014,0.238,1.565,0.06,0.951,0.36,0.302
91,Torre Superficial,3.15,8.52,9.4,20.88,8.8,126.08,40.4,130.3,10.0,42.438,13.953,0.012,22.0,4,0.2,2.6334,0.057,2.2,9.48,6.69,146,0,0.02,2.252,0.024259911894273126,0.188,1.571,0.018,0.819,0.2,0.143
92,Torre Media,3.15,8.52,7.6,19.35,6.7,93.85,50.0,186.6,30.0,134.763,19.38,0.028,31.0,12,0.371,2.325,0.058,2.5,15.99,2.25,68,0,0.016,3.375,0.024259911894273126,0.597,2.358,0.025,0.884,0.371,0.217
93,Torre Profua,3.15,8.52,7.5,18.6,5.9,81.13,52.6,188.8,20.0,169.074,30.233,0.027,27.0,13,0.418,2.2013,0.054,2.5,8.29,2.07,48,0,0.015,3.7,0.009,0.749,2.604,0.06,0.888,0.418,0.246
94,Presa,2.85,7.71,9.2,20.43,9.1,130.75,39.8,115.0,20.0,40.632,15.504,0.079,21.0,5,0.236,3.2303,0.07,2.2,47.98,8.59,185,0,0.024,2.647,0.024259911894273126,0.308,1.705,0.047,1.123,0.379,0.273
95,Potreros,3.0,8.12,9.1,21.45,8.4,127.05,38.0,135.5,10.0,61.625,20.155,0.01,23.0,3,0.312,2.7183,0.059,2.2,9.48,0.47,80,0,0.015,2.028,0.024259911894273126,0.18,1.369,0.02,0.839,0.236,0.18
96,PalmasEsp.Santo,3.0,8.12,9.3,21.03,8.7,127.4,42.4,123.0,10.0,69.526,36.434,0.01,21.0,3,0.379,2.7411,0.057,2.1,1.78,4.44,35,0,0.021,2.739,0.024259911894273126,0.273,1.832,0.026,0.944,0.312,0.23
97,Descarga Bombeo,2.57,6.95,9.3,20.37,8.9,127.2,37.4,126.6,30.0,104.289,14.729,0.013,19.0,4,0.319,2.5476,0.056,2.2,19.55,0.77,100,0,0.027,2.169,0.024259911894273126,0.462,1.492,0.019,0.889,0.319,0.2
98,Torre Superficial,1.63,4.41,9.4,20.7,8.2,117.65,42.7,120.5,40.0,29.12,27.132,0.013,18.0,3,0.199,1.6412,0.056,3.4,20.14,5.15,839,0,0.023,2.322,0.024259911894273126,0.129,1.577,0.035,0.768,0.199,0.142
99,Torre Media,1.63,4.41,7.5,19.13,6.4,89.2,51.2,165.9,30.0,104.966,41.085,0.026,17.0,4,0.308,1.6868,0.064,3.8,13.62,1.3,423,0,0.023,3.714,0.024259911894273126,0.465,2.543,0.053,0.782,0.308,0.162
100,Torre Profua,1.63,4.41,7.3,18.6,5.5,76.95,61.8,158.5,10.0,127.991,50.388,0.028,24.0,8,0.327,1.7849,0.077,4.3,5.92,4.03,98,0,0.015,3.4,0.024259911894273126,0.567,2.431,0.065,0.816,0.327,0.148
101,Presa,1.86,5.03,9.7,20.78,8.4,120.95,40.2,93.2,40.0,28.668,26.357,0.07,23.0,3,0.201,1.7387,0.068,3.9,52.72,4.92,318,0,0.02,2.29,0.007,0.252,1.54,0.095,0.894,0.298,0.165
102,Potreros,1.73,4.68,9.3,20.97,7.8,112.07,36.6,124.4,60.0,25.056,29.457,0.019,19.0,2,0.169,1.8841,0.07,3.7,15.4,3.67,598,0,0.024,2.086,0.024259911894273126,0.127,1.469,0.034,0.702,0.201,0.146
103,PalmasEsp.Santo,1.76,4.76,9.5,20.87,7.9,114.7,41.1,114.4,30.0,56.885,73.643,0.014,21.0,3,0.298,2.038,0.066,3.2,14.22,4.03,977,0,0.022,2.2,0.024259911894273126,0.111,1.5,0.038,0.672,0.169,0.115
104,Descarga Bombeo,1.83,4.95,9.8,21.1,8.5,123.0,40.6,90.0,70.0,12.641,34.884,0.019,17.0,3,0.242,1.8977,0.062,3.3,17.18,3.55,732,0,0.023,2.173,0.024259911894273126,0.056,1.45,0.045,0.781,0.242,0.195
105,Torre Superficial,1.24,3.35,9.9,21.43,8.9,129.68,47.8,71.8,30.0,25.508,17.829,0.006,15.0,8,0.171,1.943,0.052,2.7,40.28,6.57,2819,0,0.018,2.823,0.024259911894273126,0.113,1.9,0.023,0.765,0.171,0.128
106,Torre Media,1.24,3.35,8.0,19.93,5.8,82.17,46.8,112.0,30.0,61.625,52.713,0.007,16.0,8,0.18,1.7616,0.052,2.9,26.06,12.91,1160,0,0.026,2.764,0.024259911894273126,0.273,1.985,0.068,0.791,0.18,0.065
107,Torre Profua,1.24,3.35,7.3,19.3,3.2,44.85,46.3,126.7,10.0,77.427,115.504,0.037,16.0,6,0.262,1.7735,0.05,2.8,7.7,3.91,541,0,0.026,3.435,0.024259911894273126,0.343,2.386,0.149,0.782,0.262,0.069
108,Presa,1.86,5.03,9.9,21.3,8.5,124.43,45.8,37.6,30.0,9.255,16.279,0.105,18.0,7,0.075,1.9724,0.057,2.9,21.92,5.45,943,0,0.029,2.377,0.024259911894273126,0.154,1.651,0.169,0.883,0.268,0.102
109,Potreros,1.05,2.84,9.8,21.93,8.3,122.03,45.4,89.4,30.0,112.66989361926021,17.054,0.009,16.0,8,0.047,2.3669,0.053,2.2,30.8,10.25,1967,0,0.026,2.472,0.024259911894273126,0.041,1.712,0.021,0.699,0.075,0.05
110,PalmasEsp.Santo,1.22,3.3,10.1,23.0,9.4,142.1,59.6,63.7,40.0,34.763,131.008,0.01,15.0,16,0.268,2.3803,0.051,2.2,27.25,7.17,2925,0,0.032,3.227,0.024259911894273126,0.5196979742173112,2.151,0.022,0.719,0.047,0.03
111,Descarga Bombeo,1.18,3.19,9.9,21.16,8.9,129.6,45.3,65.0,30.0,33.183,15.504,0.007,16.0,9,0.14,2.226,0.052,2.3,17.18,25.11,2830,0,0.034,2.564,0.024259911894273126,0.147,1.835,0.02,0.831,0.14,0.091
112,Torre Superficial,1.5,4.06,9.1,20.25,8.3,115.73,42.3,115.8,40.0,31.151,26.357,0.01,14.0,6,0.187,1.943,0.052,2.7,35.54,5.92,2279,0,0.024,2.288,0.024259911894273126,0.138,1.49,0.034,0.805,0.187,0.129
113,Torre Media,1.5,4.06,7.5,19.23,5.7,79.63,41.7,143.0,50.0,95.034,45.736,0.012,16.0,7,0.266,1.7616,0.052,2.9,18.95,5.92,847,0,0.02,2.588,0.007,0.421,1.722,0.059,0.833,0.266,0.123
114,Torre Profua,1.5,4.06,7.6,18.6,6.0,82.87,56.8,146.7,50.0,127.54,132.558,0.026,18.0,9,0.323,1.7735,0.05,2.8,17.77,2.96,657,0,0.018,4.08,0.024259911894273126,0.565,2.695,0.171,0.939,0.323,0.062
115,Presa,1.6,4.33,9.4,20.65,8.7,125.7,42.8,46.3,10.0,23.702,24.806,0.117,19.0,8,0.136,1.9724,0.057,2.9,20.73,4.15,848,0,0.024,2.159,0.024259911894273126,0.164,1.364,0.198,0.819,0.275,0.084
116,Potreros,1.75,4.73,9.3,20.7,7.9,113.97,41.1,110.2,50.0,45.824,21.705,0.02,19.0,19,0.19,2.3669,0.053,2.2,30.8,5.69,1147,0,0.031,2.308,0.024259911894273126,0.105,1.489,0.032,0.747,0.136,0.087
117,PalmasEsp.Santo,1.53,4.14,9.7,20.7,9.0,130.57,50.9,85.5,40.0,37.02,153.488,0.014,18.0,12,0.275,2.3803,0.051,2.2,22.51,4.44,2243,0,0.02,3.045,0.024259911894273126,0.203,2.024,0.028,0.772,0.19,0.122
118,Descarga Bombeo,1.55,4.19,9.6,20.77,9.2,132.07,41.3,81.6,70.0,32.28,44.186,0.01,16.0,7,0.23,2.226,0.052,2.3,27.84,4.5,943,0,0.024,2.153,0.024259911894273126,0.143,1.387,0.057,0.772,0.23,0.154
119,Torre Superficial,2.32,6.28,8.3,19.75,8.5,119.25,39.6,146.8,50.0,50.113,13.178,0.014,19.0,6,0.201,1.943,0.052,2.7,12.44,3.32,266,5,0.016,2.033,0.024259911894273126,0.222,1.256,0.017,0.806,0.201,0.137
120,Torre Media,2.32,6.28,7.3,18.5,6.7,91.0,46.5,178.1,60.0,125.056,25.581,0.019,31.0,24,0.383,1.7616,0.052,2.9,7.11,0.77,75,5,0.017,3.14,0.013,0.554,2.102,0.033,0.999,0.383,0.228
121,Torre Profua,2.32,6.28,7.4,18.1,6.5,88.77,52.8,154.4,50.0,127.314,48.837,0.048,39.0,23,0.429,1.7735,0.05,2.8,1.78,0.3,19,5,0.013,2.969,0.009,0.564,1.993,0.063,1.083,0.429,0.25
122,Presa,2.77,7.49,8.6,19.68,8.8,123.63,39.2,109.2,40.0,78.33,19.38,0.033,26.0,5,0.263,1.9724,0.057,2.9,11.85,4.32,75,5,0.022,2.601,0.012,0.312,1.592,0.127,0.992,0.331,0.158
123,Potreros,2.38,6.44,8.5,19.8,8.3,116.5,38.0,135.6,50.0,68.172,17.829,0.012,22.0,9,0.247,2.3669,0.053,2.2,8.89,0.18,190,5,0.015,1.988,0.024259911894273126,0.347,1.248,0.025,0.831,0.263,0.165
124,PalmasEsp.Santo,2.59,7.01,8.9,19.8,8.6,121.53,40.7,123.2,50.0,70.429,98.45,0.01,24.0,5,0.331,2.3803,0.051,2.2,9.48,0.47,95,3200,0.016,2.665,0.013,0.302,1.621,0.023,0.876,0.247,0.157
125,Descarga Bombeo,2.34,6.33,8.5,19.5,8.3,117.07,38.2,120.6,30.0,46.953,13.178,0.01,21.0,4,0.243,2.226,0.052,2.3,16.59,3.32,195,5,0.017,1.947,0.011,0.208,1.144,0.017,0.89,0.243,0.18
126,Torre Superficial,2.77,7.49,8.4,19.5,8.3,117.48,39.4,144.1,40.0,57.788,9.302,0.004,21.0,5,0.3,1.943,0.052,2.7,11.25,4.09,80,233,0.022,2.322,0.024259911894273126,0.256,1.75,0.012,0.862,0.3,0.233
127,Torre Media,2.77,7.49,7.1,18.3,6.8,93.8,47.5,179.7,40.0,119.187,32.558,0.012,32.0,25,0.331,1.7616,0.052,2.9,12.44,3.73,75,33,0.027,2.887,0.024259911894273126,0.528,2.197,0.042,1.079,0.331,0.179
128,Torre Profua,2.77,7.49,6.9,17.87,6.5,88.93,56.2,171.3,90.0,168.849,37.984,0.028,51.0,35,0.448,1.7735,0.05,2.8,4.15,3.32,28,33,0.019,3.28,0.013,0.748,2.502,0.049,1.242,0.448,0.237
129,Presa,2.37,6.41,8.4,19.6,8.1,105.45,38.4,136.0,20.0,42.438,13.953,0.049,36.0,3,0.184,1.9724,0.057,2.9,20.14,1.42,120,33,0.018,2.168,0.024259911894273126,0.259,1.516,0.111,0.902,0.284,0.14
130,Potreros,2.33,6.3,8.2,19.8,8.1,114.73,37.8,164.1,10.0,52.822,11.628,0.012,24.0,3,0.212,2.3669,0.053,2.2,13.03,2.31,95,33,0.017,2.221,0.024259911894273126,0.188,1.663,0.018,0.803,0.184,0.128
131,PalmasEsp.Santo,2.55,6.9,8.9,19.47,8.4,118.5,39.8,126.5,40.0,58.465,86.047,0.005,22.0,5,0.284,2.3803,0.051,2.2,5.33,2.96,20,33,0.018,2.29,0.024259911894273126,0.234,1.686,0.015,0.836,0.212,0.147
132,Descarga Bombeo,1.78,4.81,8.7,19.63,8.3,117.45,38.5,159.1,30.0,34.537,6.977,0.022,22.0,4,0.166,2.226,0.052,2.3,75.82,6.69,420,33,0.019,2.168,0.024259911894273126,0.153,1.529,0.009,0.846,0.166,0.124
133,Torre Superficial,0.0,0.0,7.5,0.0,0.0,0.0,50.5077675934979,0.0,0.0,112.66989361926021,30.233,0.0,13.0,0,0.0,2.226,0.07452730696798493,3.312854442344045,9.48,0.0,0,0,0.0,3.340567730749287,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.38340524193548386,0.22347852760736195
134,Torre Media,0.0,0.0,7.5,0.0,0.0,0.0,50.5077675934979,0.0,0.0,112.66989361926021,30.233,0.0,13.0,0,0.0,2.226,0.07452730696798493,3.312854442344045,9.48,0.0,0,0,0.0,3.340567730749287,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.38340524193548386,0.22347852760736195
135,Torre Profua,0.0,0.0,7.5,0.0,0.0,0.0,50.5077675934979,0.0,0.0,112.66989361926021,30.233,0.0,13.0,0,0.0,2.226,0.07452730696798493,3.312854442344045,9.48,0.0,0,0,0.0,3.340567730749287,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.38340524193548386,0.22347852760736195
136,Presa,2.77,7.49,7.4,18.63,5.7,79.78,46.8,147.5,10.0,125.959,10.853,0.012,8.0,6,0.184,2.3085,0.075,3.2,26.66,3.2,90,33,0.017,2.556,0.014,0.558,2.009,0.014,0.921,0.307,0.166
137,Potreros,2.65,7.17,7.8,21.13,8.2,118.7,42.6,169.0,20.0,54.853,8.527,0.009,7.0,3,0.204,2.1074,0.063,3.0,3.55,0.18,15,33,0.022,2.564,0.014,0.243,1.882,0.011,0.812,0.184,0.116
138,PalmasEsp.Santo,0.0,0.0,7.5,0.0,0.0,0.0,50.5077675934979,0.0,0.0,112.66989361926021,30.233,0.0,13.0,0,0.0,2.226,0.07452730696798493,3.312854442344045,9.48,0.0,0,0,0.0,3.340567730749287,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.38340524193548386,0.22347852760736195
139,Descarga Bombeo,0.0,0.0,7.5,0.0,0.0,0.0,50.5077675934979,0.0,0.0,112.66989361926021,30.233,0.0,13.0,0,0.0,2.226,0.07452730696798493,3.312854442344045,9.48,0.0,0,0,0.0,3.340567730749287,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.38340524193548386,0.22347852760736195
140,Torre Superficial,2.86,7.74,9.1,20.2,8.8,125.48,44.3,144.8,30.0,0.903,10.853,0.011,8.0,5,0.189,2.0927,0.06,2.9,5.92,3.61,40,33,0.014,2.809,0.007,0.004,1.909,0.014,0.763,0.189,0.175
141,Torre Media,3.12,8.44,6.8,18.47,6.0,83.43,55.9,171.5,10.0,107.449,10.853,0.013,3.0,5,0.222,1.8832,0.057,3.0,15.99,0.18,47,33,0.028784671532846716,3.3658929219600724,0.024259911894273126,0.5196979742173112,2.3961923774954625,0.06,0.951,0.3834052419354839,0.22347852760736198
142,Torre Profua,3.12,8.44,6.9,18.1,3.2,43.6,48.6,183.4,20.0,214.673,20.155,0.015,4.0,9,0.461,2.1826,0.074,3.4,8.89,1.9,32,33,0.018,3.328,0.015,0.951,2.578,0.026,0.956,0.461,0.222
143,Presa,1.9428468468468467,0.0,7.7,18.69,5.2,73.72,43.2,130.3,30.0,0.903,15.504,0.031,11.0,6,0.17,2.3085,0.075,3.2,52.72,43.06,345,33,0.019,2.549,0.012,0.004,1.725,0.06,0.784,0.254,0.25
144,Potreros,2.65,7.17,9.0,20.93,8.3,119.97,41.8,139.1,0.0,95.485,21.705,0.012,15.0,5,0.175,2.1074,0.063,3.0,3.55,1.42,10,33,0.017,2.654,0.008,0.004,1.804,0.02,0.701,0.17,0.151
145,PalmasEsp.Santo,3.0,8.12,9.2,20.63,8.4,121.47,44.2,133.2,0.0,0.903,30.233,0.008,14.0,4,0.254,2.1002,0.058,2.8,4.15,1.66,10,33,0.02,3.525,0.082,0.423,2.4175869522945295,0.028,0.768,0.175,0.033
146,Descarga Bombeo,2.65,7.17,9.6,19.87,9.6,136.13,43.5,97.2,30.0,0.903,30.233,0.008,13.0,4,0.17,2.1713,0.057,2.6,10.66,7.17,70,33,0.018,2.503,0.013,0.004,1.65,0.039,0.733,0.17,0.134
147,Torre Superficial,2.31,6.25,9.4,20.57,9.5,136.83,47.6,102.8,40.0,40.632,19.38,0.011,8.0,6,0.205,2.113,0.061,2.9,1.18,29.08,172,555,0.016,3.239,0.009,0.18,2.08,0.025,0.805,0.205,0.142
148,Torre Media,2.86,7.74,7.3,18.4,6.0,80.87,54.5,191.1,40.0,139.052,18.605,0.014,8.0,21,0.329,1.8832,0.057,3.0,19.55,3.26,53,33,0.029,4.198,0.015,0.616,2.894,0.024,0.849,0.329,0.166
149,Torre Profua,2.86,7.74,7.3,18.2,4.0,54.97,53.9,183.0,40.0,171.558,28.682,0.031,11.0,25,0.403,2.1826,0.074,3.4,3.55,2.25,18,33,0.014,3.863,0.016,0.76,2.71,0.037,0.975,0.403,0.197
150,Presa,2.03,5.49,7.4,18.79,5.2,73.25,44.0,113.8,30.0,36.569,30.233,0.046,7.0,8,0.146,2.077,0.062,3.0,37.91,13.92,153,1200,0.016,2.567,0.023,0.324,1.807,0.071,0.885,0.234,0.099
151,Potreros,2.07,5.6,8.6,20.7,7.9,114.47,46.2,119.7,20.0,79.233,19.38,0.013,11.0,7,0.203,1.962,0.059,3.0,5.92,16.88,43,33,0.015,3.356,0.008,0.162,2.09,0.039,0.742,0.146,0.076
152,PalmasEsp.Santo,2.21,5.98,8.9,20.67,8.5,123.3,58.5,108.7,10.0,73.138,55.039,0.015,11.0,5,0.234,1.9951,0.062,3.1,4.15,2.07,43,33,0.014,4.784,0.007,0.351,3.04,0.025,0.766,0.203,0.102
153,Descarga Bombeo,1.49,4.03,9.7,20.4,10.1,145.9,50.9,71.2,70.0,34.537,11.628,0.009,13.0,10,0.182,2.2796,0.062,2.7,85.89,4.09,468,33,0.017,2.83,0.012,0.153,1.926,0.015,0.81,0.182,0.132
154,Torre Superficial,0.9,2.43,8.9,20.03,9.2,130.97,47.3,113.6,60.0,10.835,17.054,0.011,11.0,20,0.366,2.3329,0.067,2.9,116.69,14.33,531,9035,0.064,2.608,0.024259911894273126,0.048,1.897,0.022,0.918,0.366,0.338
155,Torre Media,2.31,6.25,7.3,19.17,5.6,78.07,49.4,150.1,40.0,61.174,26.357,0.016,5.0,7,0.138,2.0521,0.057,2.8,40.28,6.16,205,1733,0.016,3.682,0.016,0.271,2.421,0.034,0.854,0.138,0.046
156,Torre Profua,2.31,6.25,7.2,18.23,3.1,42.97,54.6,153.5,40.0,116.253,73.643,0.037,5.0,5,0.315,1.8542,0.059,3.2,13.03,2.72,46,33,0.014,3.893,0.016,0.515,2.536,0.095,0.878,0.315,0.12
157,Presa,1.1,2.98,7.3,18.66,5.6,77.91,43.6,97.3,60.0,1.58,10.078,0.029,12.0,9,0.304,2.5708,0.082,3.2,30.8,6.93,213,2233,0.032,2.396,0.016,0.208,1.792,0.081,1.0,0.438,0.323
158,Potreros,1.16,3.14,10.0,20.63,11.0,158.23,48.2,59.9,80.0,6.772,30.233,0.009,13.0,19,0.175,2.5498,0.069,2.7,154.6,7.11,698,233,0.029,2.476,0.024259911894273126,0.007,1.806,0.013,0.915,0.304,0.292
159,PalmasEsp.Santo,0.91,2.46,10.1,20.75,11.4,164.7,54.3,71.5,80.0,46.953,62.791,0.009,11.0,19,0.438,2.842,0.07,2.5,90.63,8.89,323,3434,0.031,3.016,0.024259911894273126,0.03,2.134,0.06,0.962,0.175,0.168
160,Descarga Bombeo,0.95,2.57,9.7,19.9,9.7,9.74,46.3,58.9,80.0,3.16,7.752,0.009,14.0,15,0.292,2.9914,0.072,2.4,100.1,9.77,358,1867,0.046,2.426,0.024259911894273126,0.014,1.761,0.01,0.969,0.292,0.281
161,Torre Superficial,0.82,2.22,9.5,22.13,9.4,139.07,50.6,23.7,43.50093808630394,3.837,17.054,0.009,14.0,12,0.161,2.6159,0.064,2.4,108.4,30.92,561,21664,0.025,3.715,0.024259911894273126,0.017,2.51,0.022,0.878,0.161,0.14
162,Torre Media,0.9,2.43,7.2,18.83,4.5,62.0,43.3,156.4,40.0,81.941,41.085,0.015,11.0,7,0.246,2.0057,0.072,3.6,7.11,11.14,111,1070,0.021,2.588,0.021,0.363,1.952,0.053,0.991,0.246,0.117
163,Torre Profua,0.9,2.43,7.9,18.33,6.5,88.73,60.3,127.6,50.0,145.598,46.512,0.022,14.0,30,0.326,2.2808,0.095,4.2,14.22,5.27,88,123,0.03,4.378,0.024,0.645,3.155,0.06,1.12,0.326,0.127
164,Presa,0.98,2.65,7.6,19.74,5.1,73.15,44.9,8.8,43.50093808630394,6.095,48.062,0.105,20.0,6,0.195,2.7522,0.082,3.0,26.66,17.71,343,16827,0.022,2.633,0.008,0.097,1.727,0.185,1.076,0.288,0.12
165,Potreros,0.69,1.87,8.9,22.33,8.7,127.07,55.6,58.9,43.50093808630394,3.16,30.233,0.009,18.0,12,0.154,2.679,0.069,2.6,147.49,5.92,728,22400,0.015,4.58,0.024259911894273126,0.027,3.002,0.062,0.907,0.195,0.14
166,PalmasEsp.Santo,1.2,3.25,9.6,22.5,10.7,159.37,60.5,36.8,43.50093808630394,21.896,143.411,0.009,14.0,12,0.288,2.64,0.068,2.6,69.3,12.79,378,31694,0.024,3.655,0.024259911894273126,0.014,2.439,0.06,0.93,0.154,0.151
167,Descarga Bombeo,0.99,2.68,9.7,22.5,9.9,148.7,48.6,30.6,43.50093808630394,0.677,30.233,0.009,13.0,16,0.285,2.6716,0.06,2.2,17.18,3.97,48,32533,0.027,3.055,0.024259911894273126,0.003,2.07,0.06,0.875,0.285,0.285
168,Torre Superficial,0.72,1.95,9.0,19.6,9.6,136.63,46.0,58.2,43.50093808630394,27.54,30.233,0.009,15.0,9,0.319,2.5455,0.088,3.4,9.48,5.03,682,3100,0.035,2.573,0.007,0.122,2.054,0.06,1.03,0.319,0.29
169,Torre Media,0.82,2.22,7.0,20.43,5.2,74.35,70.2,71.9,43.50093808630394,28.217,34.109,0.04,13.0,9,0.249,2.3139,0.071,3.1,24.88,4.56,124,9958,0.032,6.625,0.024259911894273126,0.125,4.21,0.044,0.983,0.249,0.187
170,Torre Profua,0.82,2.22,6.6,19.28,2.0,28.05,47.2,83.0,43.50093808630394,58.465,93.023,0.039,19.0,2,0.316,2.3136,0.074,3.2,1.18,3.79,43,1403,0.021,3.345,0.011,0.259,2.323,0.12,0.978,0.316,0.161
